"date","PM2.5","NO2","NOx"
2018-08-28 05:00:00,6.85333333333333,49.9134195686748,134.310031689561
2018-08-28 06:00:00,22.92,58.4213620874092,181.713338901484
2018-08-28 07:00:00,13.4933333333333,64.063886566507,204.459217584103
2018-08-28 08:00:00,13.08,62.8139335275385,208.025073733631
2018-08-28 09:00:00,11.7866666666667,64.2734052611294,204.086437935921
2018-08-28 10:00:00,13.44,64.5345312493525,208.625015108216
2018-08-28 11:00:00,13.2,62.1522170091331,183.561967967787
2018-08-28 12:00:00,13.6,65.9056218365747,198.183591799763
2018-08-28 13:00:00,15.9733333333333,60.8101920322506,197.630439675804
2018-08-28 14:00:00,13.5866666666667,64.5598199975972,194.214000423736
2018-08-28 15:00:00,20.2666666666667,69.5548210763263,211.616707620373
2018-08-28 16:00:00,14.6133333333333,68.4353918869006,188.470593673949
2018-08-28 17:00:00,18.1466666666667,70.6487012053203,207.005292986694
2018-08-28 18:00:00,15.72,75.3927229534078,181.722008634437
2018-08-28 19:00:00,15.16,69.5115102041309,148.887090396052
2018-08-28 20:00:00,14.2533333333333,69.5438939693666,149.127634893158
2018-08-28 21:00:00,16.8133333333333,85.4833269958784,204.037795293611
2018-08-28 22:00:00,13.4533333333333,82.3364440617196,176.58738670703
2018-08-28 23:00:00,12.16,69.391096216747,142.550196852027
2018-08-29,14.4533333333333,60.7608678514475,108.266290808411
2018-08-29 01:00:00,11.8133333333333,63.7977529379451,111.826545100273
2018-08-29 02:00:00,13.1733333333333,65.01820223924,111.897195683446
2018-08-29 03:00:00,12.5866666666667,61.4662168182549,115.135201831199
2018-08-29 04:00:00,14.5866666666667,60.5425037063567,121.566430103991
2018-08-29 05:00:00,15.5733333333333,65.5012484660384,135.514409970141
2018-08-29 06:00:00,14.6933333333333,58.466061557692,143.537569309926
2018-08-29 07:00:00,15.2133333333333,67.4714229115688,165.416755121586
2018-08-29 08:00:00,14.2266666666667,77.4391443601789,250.406634717567
2018-08-29 09:00:00,18.6933333333333,72.2279164748828,236.160284935563
2018-08-29 10:00:00,15.5466666666667,77.9147944131472,223.849163438074
2018-08-29 11:00:00,11.8533333333333,61.2644199639615,162.58773022957
2018-08-29 12:00:00,7.94666666666667,57.0789629030599,149.185362551429
2018-08-29 13:00:00,6.41333333333333,64.0525801854092,160.172254271087
2018-08-29 14:00:00,8.29333333333333,65.726041513314,159.650967291675
2018-08-29 15:00:00,8.53333333333333,72.6906335204931,175.613340841548
2018-08-29 16:00:00,8.89333333333333,76.6743843609823,175.73843039178
2018-08-29 17:00:00,8.93333333333333,64.7910485231266,146.17476004859
2018-08-29 18:00:00,9.57333333333333,61.962741292921,129.730211423201
2018-08-29 19:00:00,10.0266666666667,62.1203719872252,146.031389801692
2018-08-29 20:00:00,9.4,57.7192141013075,126.982590441354
2018-08-29 21:00:00,9.90666666666667,56.6045285319054,121.841328099341
2018-08-29 22:00:00,10.8533333333333,51.1807937308333,114.567076938269
2018-08-29 23:00:00,7.70666666666667,44.7880705218946,91.3421707222073
2018-08-30,6.86666666666667,42.4126759876455,74.3428379963178
2018-08-30 01:00:00,8.14666666666667,40.7778779341623,74.7954817427228
